corruption,severity,clf,delta,scope
missing_strides,medium,dt,0.7558357,within:als
missing_strides,medium,qda,0.8198996333333332,within:als
missing_strides,medium,xgb,0.8231421000000001,within:als
missing_strides,medium,lgbm,0.7342540000000001,within:als
missing_strides,heavy,rf,0.7512708666666666,within:als
missing_strides,heavy,knn,0.8185465666666666,within:als
missing_strides,heavy,svm,0.7495297333333334,within:als
missing_strides,heavy,dt,0.7557900333333334,within:als
missing_strides,heavy,qda,0.8232854000000001,within:als
missing_strides,heavy,xgb,0.8228531333333334,within:als
missing_strides,heavy,lgbm,0.7322009666666663,within:als
label_noise,light,rf,0.7245093333333332,within:als
label_noise,light,knn,0.7866699999999999,within:als
label_noise,light,svm,0.7247569000000001,within:als
label_noise,light,dt,0.7306210333333333,within:als
label_noise,light,qda,0.7877325,within:als
label_noise,light,xgb,0.7889852666666667,within:als
label_noise,light,lgbm,0.7117472333333335,within:als
label_noise,medium,rf,0.6998567666666667,within:als
label_noise,medium,knn,0.7552321666666665,within:als
label_noise,medium,svm,0.7010773666666669,within:als
label_noise,medium,dt,0.7046025,within:als
label_noise,medium,qda,0.7551856666666665,within:als
label_noise,medium,xgb,0.755639,within:als
label_noise,medium,lgbm,0.6877114333333334,within:als
label_noise,heavy,rf,0.6487717333333333,within:als
label_noise,heavy,knn,0.6901159,within:als
label_noise,heavy,svm,0.6469886333333333,within:als
label_noise,heavy,dt,0.6520201666666666,within:als
label_noise,heavy,qda,0.6943950666666666,within:als
label_noise,heavy,xgb,0.6912655666666664,within:als
label_noise,heavy,lgbm,0.6405462333333334,within:als
