scope,clf,f1@0,f1@0.10,f1@0.25,f1@0.50,delta_f1_at_0.25,sigma_at_10pct_drop
within:als,qda,0.953128,0.9342029000000001,0.8161628666666665,0.6210113666666668,0.1369651333333335,0.25
within:als,xgb,0.866498,0.8333962333333332,0.8170539333333332,0.7750994333333333,0.049444066666666786,0.5
within:als,lgbm,0.779104,0.7781392333333332,0.7708951666666668,0.7433888000000001,0.00820883333333322,
cross:pd_to_hd,rf,0.809436,0.8112550333333334,0.8006999,0.7449892333333334,0.008736100000000024,
cross:pd_to_hd,knn,0.816704,0.8108007333333332,0.7843835333333333,0.7462463666666665,0.03232046666666666,
cross:pd_to_hd,svm,0.768854,0.7869218999999998,0.7906734333333333,0.7533503333333332,-0.02181943333333325,
cross:pd_to_hd,dt,0.808457,0.8129538000000001,0.8069423666666667,0.7520103666666667,0.0015146333333332374,
cross:pd_to_hd,qda,0.729924,0.7177315666666667,0.6562643,0.5658233666666667,0.0736597,0.25
cross:pd_to_hd,xgb,0.808212,0.8193224333333334,0.8080562333333332,0.7611417666666668,0.00015576666666683447,
cross:pd_to_hd,lgbm,0.809192,0.8104857666666667,0.8013196666666665,0.7459550333333334,0.007872333333333481,
cross:hd_to_pd,rf,0.74745,0.7692518333333334,0.6882569333333333,0.6245356666666667,0.05919306666666668,0.5
cross:hd_to_pd,knn,0.624914,0.6261300000000001,0.6242752666666667,0.5958337333333333,0.0006387333333333078,
cross:hd_to_pd,svm,0.659047,0.6244531333333333,0.5844516,0.5560122,0.07459540000000009,0.25
cross:hd_to_pd,dt,0.74745,0.749421,0.6616741999999999,0.6068738,0.08577580000000007,0.25
cross:hd_to_pd,qda,0.7948,0.7776954000000001,0.6676011000000001,0.5030937,0.1271988999999999,0.2
cross:hd_to_pd,xgb,0.74745,0.7488193333333334,0.6622314333333335,0.6067064333333334,0.0852185666666665,0.25
cross:hd_to_pd,lgbm,0.74745,0.7497054666666666,0.6613587666666667,0.6055715,0.08609123333333324,0.25
cross:pd_to_als,rf,0.708682,0.7043723333333334,0.7204501000000001,0.7061597333333334,-0.011768100000000059,
cross:pd_to_als,knn,0.847069,0.8334714333333332,0.7974970666666666,0.7486324000000001,0.04957193333333332,0.5
cross:pd_to_als,svm,0.631072,0.6579485333333334,0.6932793333333334,0.6899515666666666,-0.06220733333333339,
cross:pd_to_als,dt,0.715076,0.7134602666666666,0.7320905333333333,0.7064839333333331,-0.017014533333333248,
cross:pd_to_als,qda,0.866136,0.8339115666666667,0.7073831333333335,0.5527666333333333,0.15875286666666655,0.2
cross:pd_to_als,xgb,0.698298,0.7177201666666667,0.7264132999999998,0.7090291333333332,-0.028115299999999843,
cross:pd_to_als,lgbm,0.71475,0.7094968666666667,0.7268207666666666,0.7151408666666667,-0.012070766666666621,
cross:als_to_pd,rf,0.858704,0.8290072666666665,0.8035572333333332,0.7561928000000001,0.05514676666666685,0.5
cross:als_to_pd,knn,0.759692,0.7572218666666666,0.7405017666666666,0.7081744666666665,0.019190233333333473,
cross:als_to_pd,svm,0.793164,0.7912097666666666,0.7829106666666668,0.7551118333333332,0.010253333333333225,
cross:als_to_pd,dt,0.864629,0.8577624666666668,0.8309761333333333,0.7598815999999999,0.03365286666666667,0.5
cross:als_to_pd,qda,0.782299,0.7814817666666666,0.7313473666666666,0.6114013333333332,0.05095163333333341,0.5
cross:als_to_pd,xgb,0.72545,0.7307951333333332,0.7404355666666669,0.7233194666666667,-0.014985566666666839,
cross:als_to_pd,lgbm,0.786692,0.7847853333333333,0.7665858666666665,0.7324987666666666,0.020106133333333442,
cross:hd_to_als,rf,0.611777,0.6849096666666666,0.6758379999999999,0.6456601000000001,-0.06406099999999992,
cross:hd_to_als,knn,0.67963,0.6781484666666666,0.6694080666666664,0.6399572333333333,0.010221933333333544,
cross:hd_to_als,svm,0.736022,0.7264921333333331,0.6781028333333333,0.6353911666666666,0.05791916666666663,0.5
cross:hd_to_als,dt,0.611777,0.6853415333333335,0.6686685000000001,0.6301691,-0.056891500000000095,
cross:hd_to_als,qda,0.890375,0.8531025333333332,0.6826449666666666,0.48178293333333333,0.2077300333333334,0.15
cross:hd_to_als,xgb,0.611777,0.6862498333333332,0.6679377999999999,0.6285546666666665,-0.0561607999999999,
cross:hd_to_als,lgbm,0.611777,0.6857290333333332,0.6680815999999999,0.6293857,-0.05630459999999993,
cross:als_to_hd,rf,0.767806,0.7704350666666667,0.7663810333333332,0.7448319,0.0014249666666668048,
cross:als_to_hd,knn,0.714924,0.7119834,0.7052158999999999,0.6959322999999998,0.009708100000000108,
cross:als_to_hd,svm,0.707653,0.7071335333333333,0.7088193666666668,0.7120404333333331,-0.001166366666666807,
cross:als_to_hd,dt,0.754364,0.7708517666666669,0.7762315,0.7513751000000001,-0.02186749999999993,
cross:als_to_hd,qda,0.727825,0.7273854666666667,0.6933048666666667,0.6099498333333333,0.03452013333333337,0.5
cross:als_to_hd,xgb,0.739075,0.7419314333333332,0.7491349666666668,0.7389113333333334,-0.010059966666666753,
cross:als_to_hd,lgbm,0.758455,0.7607071666666668,0.7538737666666666,0.7383785333333333,0.004581233333333379,
