direction,classifier,feature,delta_j_normalized,family,abs_delta
pd_to_hd,qda,left_swing_s,0.3529906146265829,raw_timing,0.3529906146265829
pd_to_hd,qda,right_swing_s,0.2995746542179801,raw_timing,0.2995746542179801
pd_to_hd,rf,asymmetry_index,0.8840050881085206,asymmetry,0.8840050881085206
pd_to_hd,rf,double_support_pct,0.38430711377565796,phase_percentage,0.38430711377565796
pd_to_hd,rf,left_swing_s,0.21361660748544417,raw_timing,0.21361660748544417
pd_to_hd,svm,left_swing_s,6.369489158106318,raw_timing,6.369489158106318
pd_to_hd,svm,asymmetry_index,0.43555460550886227,asymmetry,0.43555460550886227
pd_to_hd,svm,left_stance_s,0.2624180221182556,raw_timing,0.2624180221182556
pd_to_hd,xgb,asymmetry_index,0.894428233370199,asymmetry,0.894428233370199
pd_to_hd,xgb,left_swing_s,0.18600329562846224,raw_timing,0.18600329562846224
pd_to_hd,xgb,double_support_pct,0.17840034981065367,phase_percentage,0.17840034981065367
