direction,classifier,feature,delta_j_norm
hd_to_als,rf,right_stance_s,0.30682292712504416
hd_to_als,rf,double_support_s,0.04639007726792469
hd_to_als,rf,double_support_pct,0.08797288662461882
hd_to_als,rf,asymmetry_index,0.11979731716113269
hd_to_als,rf,cv_stride,0.1087768719486977
hd_to_als,rf,cv_swing,0.14976967276324213
hd_to_als,rf,dfa_alpha_stride,0.13405962362954932
hd_to_als,svm,left_stride_s,1.2181767814059348
hd_to_als,svm,right_stride_s,1.2975518523984013
hd_to_als,svm,left_swing_s,0.10305155237312258
hd_to_als,svm,right_swing_s,0.28653783802682314
hd_to_als,svm,left_swing_pct,0.37063678885076645
hd_to_als,svm,right_swing_pct,0.749505016423586
hd_to_als,svm,left_stance_s,1.2005764940213688
hd_to_als,svm,right_stance_s,0.8801188044644935
hd_to_als,svm,double_support_s,0.825152058416125
hd_to_als,svm,double_support_pct,0.512219489610628
hd_to_als,svm,asymmetry_index,0.5928143241636651
hd_to_als,svm,cv_stride,0.23774384520002625
hd_to_als,svm,cv_swing,0.2706559043188921
hd_to_als,svm,dfa_alpha_stride,0.27012330508592275
hd_to_als,xgb,left_stride_s,0.0
hd_to_als,xgb,right_stride_s,0.0
hd_to_als,xgb,left_swing_s,0.0
hd_to_als,xgb,right_swing_s,0.0
hd_to_als,xgb,left_swing_pct,0.0
hd_to_als,xgb,right_swing_pct,0.0
hd_to_als,xgb,left_stance_s,0.0
hd_to_als,xgb,right_stance_s,0.0
hd_to_als,xgb,double_support_s,0.0
hd_to_als,xgb,double_support_pct,0.0
hd_to_als,xgb,asymmetry_index,0.0
hd_to_als,xgb,cv_stride,1.4682544278031819e-08
hd_to_als,xgb,cv_swing,0.0
hd_to_als,xgb,dfa_alpha_stride,0.0
hd_to_pd,dt,left_stride_s,0.0
hd_to_pd,dt,right_stride_s,0.0
hd_to_pd,dt,left_swing_s,0.0
hd_to_pd,dt,right_swing_s,0.0
hd_to_pd,dt,left_swing_pct,0.0
hd_to_pd,dt,right_swing_pct,0.0
hd_to_pd,dt,left_stance_s,0.0
hd_to_pd,dt,right_stance_s,0.0
hd_to_pd,dt,double_support_s,0.0
hd_to_pd,dt,double_support_pct,0.0
hd_to_pd,dt,asymmetry_index,0.0
hd_to_pd,dt,cv_stride,4.773959005888152e-15
hd_to_pd,dt,cv_swing,0.0
hd_to_pd,dt,dfa_alpha_stride,0.0
hd_to_pd,knn,left_stride_s,0.9091847266951466
hd_to_pd,knn,right_stride_s,0.9218863899949513
hd_to_pd,knn,left_swing_s,0.4459907737534284
hd_to_pd,knn,right_swing_s,0.9366325926236935
hd_to_pd,knn,left_swing_pct,0.28102034212131355
hd_to_pd,knn,right_swing_pct,0.4150136281363065
hd_to_pd,knn,left_stance_s,0.9318541248340444
hd_to_pd,knn,right_stance_s,0.5286416382048942
hd_to_pd,knn,double_support_s,0.23793949639347392
hd_to_pd,knn,double_support_pct,0.09119919183007345
hd_to_pd,knn,asymmetry_index,0.27587384290153516
hd_to_pd,knn,cv_stride,0.16996136149264135
hd_to_pd,knn,cv_swing,0.3116507544491667
hd_to_pd,knn,dfa_alpha_stride,0.08573948570138686
hd_to_pd,lgbm,left_stride_s,0.10839234970555875
hd_to_pd,lgbm,right_stride_s,0.05779867268098979
hd_to_pd,lgbm,left_swing_s,0.03640224456946765
hd_to_pd,lgbm,right_swing_s,0.031336609641545644
hd_to_pd,lgbm,left_swing_pct,0.0
hd_to_pd,lgbm,right_swing_pct,0.0
hd_to_pd,lgbm,left_stance_s,0.028473840181341227
hd_to_pd,lgbm,right_stance_s,0.0
hd_to_pd,lgbm,double_support_s,0.0
hd_to_pd,lgbm,double_support_pct,0.0
hd_to_pd,lgbm,asymmetry_index,0.0
hd_to_pd,lgbm,cv_stride,8.832544224876939e-11
hd_to_pd,lgbm,cv_swing,0.0
hd_to_pd,lgbm,dfa_alpha_stride,0.0
hd_to_pd,qda,left_stride_s,0.03492913293903486
hd_to_pd,qda,right_stride_s,0.33021137551878355
hd_to_pd,qda,left_swing_s,0.04265242998473378
hd_to_pd,qda,right_swing_s,0.09233099954925676
hd_to_pd,qda,left_swing_pct,0.0366707351084857
hd_to_pd,qda,right_swing_pct,0.09957504199225646
hd_to_pd,qda,left_stance_s,0.11257131689235218
hd_to_pd,qda,right_stance_s,0.10804667315714862
hd_to_pd,qda,double_support_s,0.10863936748294094
hd_to_pd,qda,double_support_pct,0.06591127011767121
hd_to_pd,qda,asymmetry_index,0.2849329574822284
hd_to_pd,qda,cv_stride,0.4468940520115716
hd_to_pd,qda,cv_swing,0.29101917368507924
hd_to_pd,qda,dfa_alpha_stride,0.20736416412835548
hd_to_pd,rf,left_stride_s,0.24822571595482112
hd_to_pd,rf,right_stride_s,0.11595163714284008
hd_to_pd,rf,left_swing_s,0.22024196115634098
hd_to_pd,rf,right_swing_s,0.043864197374231646
hd_to_pd,rf,left_swing_pct,0.16100150223882
hd_to_pd,rf,right_swing_pct,0.12040566854648901
hd_to_pd,rf,left_stance_s,0.02564604512492241
hd_to_pd,rf,right_stance_s,0.017180784192774877
hd_to_pd,rf,double_support_s,0.23705319896062693
hd_to_pd,rf,double_support_pct,0.08254635957571461
hd_to_pd,rf,asymmetry_index,0.14147626716318898
hd_to_pd,rf,cv_stride,0.05039976515336957
hd_to_pd,rf,cv_swing,0.06280663452731927
hd_to_pd,rf,dfa_alpha_stride,0.01951549012876199
hd_to_pd,svm,left_stride_s,0.4796092432337025
hd_to_pd,svm,right_stride_s,0.5119995350994064
hd_to_pd,svm,left_swing_s,0.020274486684710307
hd_to_pd,svm,right_swing_s,0.9501596082016476
hd_to_pd,svm,left_swing_pct,0.04580803400657663
hd_to_pd,svm,right_swing_pct,0.16157072243267281
hd_to_pd,svm,left_stance_s,0.5362000700164473
hd_to_pd,svm,right_stance_s,0.1603825664027088
hd_to_pd,svm,double_support_s,0.31952473943215937
hd_to_pd,svm,double_support_pct,0.2108570821317569
hd_to_pd,svm,asymmetry_index,0.4225798177897737
hd_to_pd,svm,cv_stride,0.21948331749332936
hd_to_pd,svm,cv_swing,0.005560271319473811
hd_to_pd,svm,dfa_alpha_stride,0.11435782294238563
hd_to_pd,xgb,left_stride_s,0.0
hd_to_pd,xgb,right_stride_s,0.0
hd_to_pd,xgb,left_swing_s,0.0
hd_to_pd,xgb,right_swing_s,0.0
hd_to_pd,xgb,left_swing_pct,0.0
hd_to_pd,xgb,right_swing_pct,0.0
hd_to_pd,xgb,left_stance_s,0.0
hd_to_pd,xgb,right_stance_s,0.0
hd_to_pd,xgb,double_support_s,0.0
hd_to_pd,xgb,double_support_pct,0.0
hd_to_pd,xgb,asymmetry_index,0.0
hd_to_pd,xgb,cv_stride,1.785256983495719e-14
hd_to_pd,xgb,cv_swing,0.0
hd_to_pd,xgb,dfa_alpha_stride,0.0
pd_to_als,dt,left_stride_s,0.3108684459326622
pd_to_als,dt,right_stride_s,0.6238509722249329
pd_to_als,dt,left_swing_s,0.0
pd_to_als,dt,right_swing_s,0.0
pd_to_als,dt,left_swing_pct,0.0
pd_to_als,dt,right_swing_pct,0.0
pd_to_als,dt,left_stance_s,0.0
pd_to_als,dt,right_stance_s,0.0
pd_to_als,dt,double_support_s,0.0
pd_to_als,dt,double_support_pct,0.0
pd_to_als,dt,asymmetry_index,2.0755506664751922e-08
pd_to_als,dt,cv_stride,0.09158162596540449
pd_to_als,dt,cv_swing,0.0
pd_to_als,dt,dfa_alpha_stride,1.2783637461707813
pd_to_als,knn,left_stride_s,0.6586832281310839
pd_to_als,knn,right_stride_s,0.5844757272431652
pd_to_als,knn,left_swing_s,0.589072767744961
pd_to_als,knn,right_swing_s,0.017563607926174143
pd_to_als,knn,left_swing_pct,0.07451662608726389
pd_to_als,knn,right_swing_pct,0.08390724574862304
pd_to_als,knn,left_stance_s,0.6043834195391891
pd_to_als,knn,right_stance_s,0.5234839989429608
pd_to_als,knn,double_support_s,0.245567682754699
pd_to_als,knn,double_support_pct,0.08020813248339687
pd_to_als,knn,asymmetry_index,0.22596237984198608
pd_to_als,knn,cv_stride,0.06924392552463758
pd_to_als,knn,cv_swing,0.23602858068446458
pd_to_als,knn,dfa_alpha_stride,0.2710187579048268
pd_to_als,lgbm,left_stride_s,0.8235849292429387
pd_to_als,lgbm,right_stride_s,0.6944493534844453
pd_to_als,lgbm,left_swing_s,0.7882817849780659
pd_to_als,lgbm,right_swing_s,0.41144729698867966
pd_to_als,lgbm,left_swing_pct,0.41342566775903133
pd_to_als,lgbm,right_swing_pct,0.12810918681761513
pd_to_als,lgbm,left_stance_s,0.39260310250543573
pd_to_als,lgbm,right_stance_s,0.37928959178263044
pd_to_als,lgbm,double_support_s,0.7502808320404896
pd_to_als,lgbm,double_support_pct,0.5710769787437961
pd_to_als,lgbm,asymmetry_index,0.025648761448017907
pd_to_als,lgbm,cv_stride,0.08419911904046294
pd_to_als,lgbm,cv_swing,0.305645060481682
pd_to_als,lgbm,dfa_alpha_stride,0.13682404984915414
pd_to_als,qda,left_stride_s,0.6103090830629275
pd_to_als,qda,right_stride_s,0.7063228198828473
pd_to_als,qda,left_swing_s,0.621268169166007
pd_to_als,qda,right_swing_s,0.05291074017239072
pd_to_als,qda,left_swing_pct,0.6755868913398742
pd_to_als,qda,right_swing_pct,0.26571522113660917
pd_to_als,qda,left_stance_s,0.5340086794020247
pd_to_als,qda,right_stance_s,0.40463390456313153
pd_to_als,qda,double_support_s,0.3428958601309816
pd_to_als,qda,double_support_pct,0.029203183578159847
pd_to_als,qda,asymmetry_index,0.14810603897014693
pd_to_als,qda,cv_stride,0.1324394725744354
pd_to_als,qda,cv_swing,0.302571620974762
pd_to_als,qda,dfa_alpha_stride,0.11190644496488511
pd_to_als,rf,left_stride_s,0.2474458754152973
pd_to_als,rf,right_stride_s,0.4359200703235842
pd_to_als,rf,left_swing_s,0.05185023467366407
pd_to_als,rf,right_swing_s,0.11914029870908545
pd_to_als,rf,left_swing_pct,0.09597565634018941
pd_to_als,rf,right_swing_pct,0.045433673606485925
pd_to_als,rf,left_stance_s,0.220040525232855
pd_to_als,rf,right_stance_s,0.13524893998840315
