scope,domain,corruption,variant,severity,classifier,mean_f1
cross,als_to_hd,engineered_feature_masking,direct,light,knn,0.6890120333333333
cross,als_to_hd,engineered_feature_masking,direct,light,lgbm,0.7782896
cross,als_to_hd,engineered_feature_masking,direct,light,qda,0.7734518666666669
cross,als_to_hd,engineered_feature_masking,direct,light,rf,0.7692781666666665
cross,als_to_hd,engineered_feature_masking,direct,light,svm,0.6898894666666667
cross,als_to_hd,engineered_feature_masking,direct,light,xgb,0.7360365333333334
cross,als_to_hd,engineered_feature_masking,direct,medium,dt,0.7508413666666668
cross,als_to_hd,engineered_feature_masking,direct,medium,knn,0.6910790666666669
cross,als_to_hd,engineered_feature_masking,direct,medium,lgbm,0.7776232000000001
cross,als_to_hd,engineered_feature_masking,direct,medium,qda,0.7524381666666666
cross,als_to_hd,engineered_feature_masking,direct,medium,rf,0.7727678
cross,als_to_hd,engineered_feature_masking,direct,medium,svm,0.6696595999999999
cross,als_to_hd,engineered_feature_masking,direct,medium,xgb,0.7392998666666666
cross,als_to_hd,evaluation_row_dropout,direct,heavy,dt,0.752194
cross,als_to_hd,evaluation_row_dropout,direct,heavy,knn,0.6879570333333334
cross,als_to_hd,evaluation_row_dropout,direct,heavy,lgbm,0.7776388999999999
cross,als_to_hd,evaluation_row_dropout,direct,heavy,qda,0.7826115333333333
cross,als_to_hd,evaluation_row_dropout,direct,heavy,rf,0.7683499333333333
cross,als_to_hd,evaluation_row_dropout,direct,heavy,svm,0.6986142333333334
cross,als_to_hd,evaluation_row_dropout,direct,heavy,xgb,0.7341231666666667
cross,als_to_hd,evaluation_row_dropout,direct,light,dt,0.7534124
cross,als_to_hd,evaluation_row_dropout,direct,light,knn,0.6881592666666667
cross,als_to_hd,evaluation_row_dropout,direct,light,lgbm,0.7787032
cross,als_to_hd,evaluation_row_dropout,direct,light,qda,0.7829161333333334
cross,als_to_hd,evaluation_row_dropout,direct,light,rf,0.7676913333333335
cross,als_to_hd,evaluation_row_dropout,direct,light,svm,0.6990402333333332
cross,als_to_hd,evaluation_row_dropout,direct,light,xgb,0.7341019666666667
cross,als_to_hd,evaluation_row_dropout,direct,medium,dt,0.7527180666666665
cross,als_to_hd,evaluation_row_dropout,direct,medium,knn,0.6877465000000001
cross,als_to_hd,evaluation_row_dropout,direct,medium,lgbm,0.7786331333333333
cross,als_to_hd,evaluation_row_dropout,direct,medium,qda,0.7839068333333334
cross,als_to_hd,evaluation_row_dropout,direct,medium,rf,0.7665553666666666
cross,als_to_hd,evaluation_row_dropout,direct,medium,svm,0.6996949333333333
cross,als_to_hd,evaluation_row_dropout,direct,medium,xgb,0.7342365
cross,als_to_hd,gaussian_feature_space_jitter,pooled_relative,heavy,dt,0.7054214333333332
cross,als_to_hd,gaussian_feature_space_jitter,pooled_relative,heavy,knn,0.6681800666666667
cross,als_to_hd,gaussian_feature_space_jitter,pooled_relative,heavy,lgbm,0.7109314666666666
cross,als_to_hd,gaussian_feature_space_jitter,pooled_relative,heavy,qda,0.47662616666666674
cross,als_to_hd,gaussian_feature_space_jitter,pooled_relative,heavy,rf,0.7054710666666667
cross,als_to_hd,gaussian_feature_space_jitter,pooled_relative,heavy,svm,0.6864637333333333
cross,als_to_hd,gaussian_feature_space_jitter,pooled_relative,heavy,xgb,0.7133134333333332
cross,als_to_hd,gaussian_feature_space_jitter,pooled_relative,light,dt,0.7674741333333335
cross,als_to_hd,gaussian_feature_space_jitter,pooled_relative,light,knn,0.6890635666666667
cross,als_to_hd,gaussian_feature_space_jitter,pooled_relative,light,lgbm,0.7745229666666665
cross,als_to_hd,gaussian_feature_space_jitter,pooled_relative,light,qda,0.7724129333333334
cross,als_to_hd,gaussian_feature_space_jitter,pooled_relative,light,rf,0.7674351333333334
cross,als_to_hd,gaussian_feature_space_jitter,pooled_relative,light,svm,0.6982589333333333
cross,als_to_hd,gaussian_feature_space_jitter,pooled_relative,light,xgb,0.7488782666666668
cross,als_to_hd,gaussian_feature_space_jitter,pooled_relative,medium,dt,0.7526064666666666
cross,als_to_hd,gaussian_feature_space_jitter,pooled_relative,medium,knn,0.6801965333333333
cross,als_to_hd,gaussian_feature_space_jitter,pooled_relative,medium,lgbm,0.7559813999999999
cross,als_to_hd,gaussian_feature_space_jitter,pooled_relative,medium,qda,0.6436183333333333
cross,als_to_hd,gaussian_feature_space_jitter,pooled_relative,medium,rf,0.7469154333333334
cross,als_to_hd,gaussian_feature_space_jitter,pooled_relative,medium,svm,0.6946017333333335
cross,als_to_hd,gaussian_feature_space_jitter,pooled_relative,medium,xgb,0.7428509333333334
cross,als_to_hd,gaussian_feature_space_jitter,source_relative,heavy,dt,0.7413759
cross,als_to_hd,gaussian_feature_space_jitter,source_relative,heavy,knn,0.6859182
cross,als_to_hd,gaussian_feature_space_jitter,source_relative,heavy,lgbm,0.7446463333333334
cross,als_to_hd,gaussian_feature_space_jitter,source_relative,heavy,qda,0.5685678666666667
cross,als_to_hd,gaussian_feature_space_jitter,source_relative,heavy,rf,0.7464879999999998
cross,als_to_hd,gaussian_feature_space_jitter,source_relative,heavy,svm,0.6894267666666667
cross,als_to_hd,gaussian_feature_space_jitter,source_relative,heavy,xgb,0.7403565000000002
cross,als_to_hd,gaussian_feature_space_jitter,source_relative,light,dt,0.7590326666666667
cross,als_to_hd,gaussian_feature_space_jitter,source_relative,light,knn,0.6896032000000001
cross,als_to_hd,gaussian_feature_space_jitter,source_relative,light,lgbm,0.7727182666666667
cross,als_to_hd,gaussian_feature_space_jitter,source_relative,light,qda,0.7865673666666667
cross,als_to_hd,gaussian_feature_space_jitter,source_relative,light,rf,0.7651537666666666
cross,als_to_hd,gaussian_feature_space_jitter,source_relative,light,svm,0.6986938333333333
cross,als_to_hd,gaussian_feature_space_jitter,source_relative,light,xgb,0.7345921
cross,als_to_hd,gaussian_feature_space_jitter,source_relative,medium,dt,0.7660078666666666
cross,als_to_hd,gaussian_feature_space_jitter,source_relative,medium,knn,0.6893278666666666
cross,als_to_hd,gaussian_feature_space_jitter,source_relative,medium,lgbm,0.7629680333333332
cross,als_to_hd,gaussian_feature_space_jitter,source_relative,medium,qda,0.7211092333333332
cross,als_to_hd,gaussian_feature_space_jitter,source_relative,medium,rf,0.7641865333333334
cross,als_to_hd,gaussian_feature_space_jitter,source_relative,medium,svm,0.6973248
cross,als_to_hd,gaussian_feature_space_jitter,source_relative,medium,xgb,0.7461740666666669
cross,als_to_hd,gaussian_feature_space_jitter,target_relative,heavy,dt,0.6994806333333333
cross,als_to_hd,gaussian_feature_space_jitter,target_relative,heavy,knn,0.6641602333333334
cross,als_to_hd,gaussian_feature_space_jitter,target_relative,heavy,lgbm,0.700256
cross,als_to_hd,gaussian_feature_space_jitter,target_relative,heavy,qda,0.4598923666666667
cross,als_to_hd,gaussian_feature_space_jitter,target_relative,heavy,rf,0.6978222333333333
cross,als_to_hd,gaussian_feature_space_jitter,target_relative,heavy,svm,0.683717
cross,als_to_hd,gaussian_feature_space_jitter,target_relative,heavy,xgb,0.7076245
cross,als_to_hd,gaussian_feature_space_jitter,target_relative,light,dt,0.7679216
cross,als_to_hd,gaussian_feature_space_jitter,target_relative,light,knn,0.6872011333333334
cross,als_to_hd,gaussian_feature_space_jitter,target_relative,light,lgbm,0.7755157666666667
cross,als_to_hd,gaussian_feature_space_jitter,target_relative,light,qda,0.7653979666666667
cross,als_to_hd,gaussian_feature_space_jitter,target_relative,light,rf,0.7672519666666666
cross,als_to_hd,gaussian_feature_space_jitter,target_relative,light,svm,0.6985483666666666
cross,als_to_hd,gaussian_feature_space_jitter,target_relative,light,xgb,0.7512421333333336
cross,als_to_hd,gaussian_feature_space_jitter,target_relative,medium,dt,0.7464088666666666
cross,als_to_hd,gaussian_feature_space_jitter,target_relative,medium,knn,0.6764475666666667
cross,als_to_hd,gaussian_feature_space_jitter,target_relative,medium,lgbm,0.7528939333333333
cross,als_to_hd,gaussian_feature_space_jitter,target_relative,medium,qda,0.6200079333333333
cross,als_to_hd,gaussian_feature_space_jitter,target_relative,medium,rf,0.7400774666666667
cross,als_to_hd,gaussian_feature_space_jitter,target_relative,medium,svm,0.6937836999999999
cross,als_to_hd,gaussian_feature_space_jitter,target_relative,medium,xgb,0.7391071999999999
cross,als_to_pd,benchmark_label_corruption,direct,heavy,dt,0.7078120333333333
cross,als_to_pd,benchmark_label_corruption,direct,heavy,knn,0.6121709
cross,als_to_pd,benchmark_label_corruption,direct,heavy,lgbm,0.6367314
cross,als_to_pd,benchmark_label_corruption,direct,heavy,qda,0.6730627333333334
cross,als_to_pd,benchmark_label_corruption,direct,heavy,rf,0.6876109333333335
cross,als_to_pd,benchmark_label_corruption,direct,heavy,svm,0.6598211666666667
cross,als_to_pd,benchmark_label_corruption,direct,heavy,xgb,0.6300730333333333
cross,als_to_pd,benchmark_label_corruption,direct,light,dt,0.8165507
cross,als_to_pd,benchmark_label_corruption,direct,light,knn,0.6653759999999999
cross,als_to_pd,benchmark_label_corruption,direct,light,lgbm,0.7038507333333331
cross,als_to_pd,benchmark_label_corruption,direct,light,qda,0.7665370666666667
cross,als_to_pd,benchmark_label_corruption,direct,light,rf,0.7830667333333334
cross,als_to_pd,benchmark_label_corruption,direct,light,svm,0.7453903333333332
cross,als_to_pd,benchmark_label_corruption,direct,light,xgb,0.6949141666666668
cross,als_to_pd,benchmark_label_corruption,direct,medium,dt,0.7802781666666666
cross,als_to_pd,benchmark_label_corruption,direct,medium,knn,0.6478143333333333
cross,als_to_pd,benchmark_label_corruption,direct,medium,lgbm,0.6806285
cross,als_to_pd,benchmark_label_corruption,direct,medium,qda,0.7351493666666666
cross,als_to_pd,benchmark_label_corruption,direct,medium,rf,0.7497537
cross,als_to_pd,benchmark_label_corruption,direct,medium,svm,0.7179225333333333
cross,als_to_pd,benchmark_label_corruption,direct,medium,xgb,0.6745245333333332
cross,als_to_pd,engineered_feature_gain_bias_drift,pooled_relative,heavy,dt,0.7844992666666667
cross,als_to_pd,engineered_feature_gain_bias_drift,pooled_relative,heavy,knn,0.6478202666666667
cross,als_to_pd,engineered_feature_gain_bias_drift,pooled_relative,heavy,lgbm,0.6454446333333336
cross,als_to_pd,engineered_feature_gain_bias_drift,pooled_relative,heavy,qda,0.5875455333333333
cross,als_to_pd,engineered_feature_gain_bias_drift,pooled_relative,heavy,rf,0.7599752
cross,als_to_pd,engineered_feature_gain_bias_drift,pooled_relative,heavy,svm,0.7132518666666665
cross,als_to_pd,engineered_feature_gain_bias_drift,pooled_relative,heavy,xgb,0.6892639666666667
cross,als_to_pd,engineered_feature_gain_bias_drift,pooled_relative,light,dt,0.8308799333333334
cross,als_to_pd,engineered_feature_gain_bias_drift,pooled_relative,light,knn,0.6807592333333332
cross,als_to_pd,engineered_feature_gain_bias_drift,pooled_relative,light,lgbm,0.7175400333333335
cross,als_to_pd,engineered_feature_gain_bias_drift,pooled_relative,light,qda,0.7981727333333333
cross,als_to_pd,engineered_feature_gain_bias_drift,pooled_relative,light,rf,0.8082197999999999
cross,als_to_pd,engineered_feature_gain_bias_drift,pooled_relative,light,svm,0.7705428
cross,als_to_pd,engineered_feature_gain_bias_drift,pooled_relative,light,xgb,0.7069175
cross,als_to_pd,engineered_feature_gain_bias_drift,pooled_relative,medium,dt,0.8104146
cross,als_to_pd,engineered_feature_gain_bias_drift,pooled_relative,medium,knn,0.6748241666666667
cross,als_to_pd,engineered_feature_gain_bias_drift,pooled_relative,medium,lgbm,0.6790709
cross,als_to_pd,engineered_feature_gain_bias_drift,pooled_relative,medium,qda,0.7426702000000002
cross,als_to_pd,engineered_feature_gain_bias_drift,pooled_relative,medium,rf,0.7917298000000002
cross,als_to_pd,engineered_feature_gain_bias_drift,pooled_relative,medium,svm,0.7574310333333333
cross,als_to_pd,engineered_feature_gain_bias_drift,pooled_relative,medium,xgb,0.6914433
cross,als_to_pd,engineered_feature_gain_bias_drift,source_relative,heavy,dt,0.7591923666666666
cross,als_to_pd,engineered_feature_gain_bias_drift,source_relative,heavy,knn,0.6632353333333334
cross,als_to_pd,engineered_feature_gain_bias_drift,source_relative,heavy,lgbm,0.6515391
cross,als_to_pd,engineered_feature_gain_bias_drift,source_relative,heavy,qda,0.5800521333333333
cross,als_to_pd,engineered_feature_gain_bias_drift,source_relative,heavy,rf,0.7492755000000001
cross,als_to_pd,engineered_feature_gain_bias_drift,source_relative,heavy,svm,0.7216785333333333
cross,als_to_pd,engineered_feature_gain_bias_drift,source_relative,heavy,xgb,0.7012308
cross,als_to_pd,engineered_feature_gain_bias_drift,source_relative,light,dt,0.8366062999999999
cross,als_to_pd,engineered_feature_gain_bias_drift,source_relative,light,knn,0.6817226999999998
cross,als_to_pd,engineered_feature_gain_bias_drift,source_relative,light,lgbm,0.7149084
cross,als_to_pd,engineered_feature_gain_bias_drift,source_relative,light,qda,0.7980701333333333
cross,als_to_pd,engineered_feature_gain_bias_drift,source_relative,light,rf,0.8011435333333333
cross,als_to_pd,engineered_feature_gain_bias_drift,source_relative,light,svm,0.7656753
cross,als_to_pd,engineered_feature_gain_bias_drift,source_relative,light,xgb,0.7145960000000001
cross,als_to_pd,engineered_feature_gain_bias_drift,source_relative,medium,dt,0.8054965666666667
cross,als_to_pd,engineered_feature_gain_bias_drift,source_relative,medium,knn,0.6805097333333332
cross,als_to_pd,engineered_feature_gain_bias_drift,source_relative,medium,lgbm,0.6777612333333334
cross,als_to_pd,engineered_feature_gain_bias_drift,source_relative,medium,qda,0.7330928333333334
cross,als_to_pd,engineered_feature_gain_bias_drift,source_relative,medium,rf,0.7866367000000002
cross,als_to_pd,engineered_feature_gain_bias_drift,source_relative,medium,svm,0.7596957999999999
cross,als_to_pd,engineered_feature_gain_bias_drift,source_relative,medium,xgb,0.7102284333333333
cross,als_to_pd,engineered_feature_gain_bias_drift,target_relative,heavy,dt,0.7525935666666667
cross,als_to_pd,engineered_feature_gain_bias_drift,target_relative,heavy,knn,0.6531217333333335
cross,als_to_pd,engineered_feature_gain_bias_drift,target_relative,heavy,lgbm,0.6604104
cross,als_to_pd,engineered_feature_gain_bias_drift,target_relative,heavy,qda,0.6095573
cross,als_to_pd,engineered_feature_gain_bias_drift,target_relative,heavy,rf,0.7599516666666667
cross,als_to_pd,engineered_feature_gain_bias_drift,target_relative,heavy,svm,0.7322916333333335
cross,als_to_pd,engineered_feature_gain_bias_drift,target_relative,heavy,xgb,0.7051919666666667
cross,als_to_pd,engineered_feature_gain_bias_drift,target_relative,light,dt,0.8309223666666665
cross,als_to_pd,engineered_feature_gain_bias_drift,target_relative,light,knn,0.6840880666666667
cross,als_to_pd,engineered_feature_gain_bias_drift,target_relative,light,lgbm,0.7160547666666666
cross,als_to_pd,engineered_feature_gain_bias_drift,target_relative,light,qda,0.8068844666666668
cross,als_to_pd,engineered_feature_gain_bias_drift,target_relative,light,rf,0.8078613333333334
