direction,classifier,feature,delta_j
als_to_pd,rf,right_stance_s,0.007946190414420573
als_to_pd,rf,double_support_s,0.0031544686123943094
als_to_pd,rf,double_support_pct,0.0002960448785711816
als_to_pd,rf,asymmetry_index,0.0002964633872096711
als_to_pd,rf,cv_stride,0.01600134830059373
als_to_pd,rf,cv_swing,0.01842914430809834
als_to_pd,rf,dfa_alpha_stride,0.018697367506539747
als_to_pd,svm,left_stride_s,0.0004404307040172875
als_to_pd,svm,right_stride_s,0.0006927729686154876
als_to_pd,svm,left_swing_s,0.006763715310229807
als_to_pd,svm,right_swing_s,0.010574596799268018
als_to_pd,svm,left_swing_pct,0.0016772392522260296
als_to_pd,svm,right_swing_pct,0.012241940127210868
als_to_pd,svm,left_stance_s,0.004654654948372382
als_to_pd,svm,right_stance_s,0.004570606096882049
als_to_pd,svm,double_support_s,0.0009272416487984964
als_to_pd,svm,double_support_pct,0.016017324278161767
als_to_pd,svm,asymmetry_index,0.0001246188817511177
als_to_pd,svm,cv_stride,0.0037275864358154442
als_to_pd,svm,cv_swing,0.007938117538131374
als_to_pd,svm,dfa_alpha_stride,0.04305385231134076
als_to_pd,xgb,left_stride_s,0.0009147838088724991
als_to_pd,xgb,right_stride_s,0.0023353737128236074
als_to_pd,xgb,left_swing_s,0.00043252597173725556
als_to_pd,xgb,right_swing_s,0.00024130023745101643
als_to_pd,xgb,left_swing_pct,9.019090823922225e-06
als_to_pd,xgb,right_swing_pct,0.004089889378579643
als_to_pd,xgb,left_stance_s,0.00853394643467642
als_to_pd,xgb,right_stance_s,0.012084742501663567
als_to_pd,xgb,double_support_s,0.004085338472731837
als_to_pd,xgb,double_support_pct,0.0005574892110465106
als_to_pd,xgb,asymmetry_index,0.0005225519455950537
als_to_pd,xgb,cv_stride,0.005833081755159328
als_to_pd,xgb,cv_swing,0.010202996689613594
als_to_pd,xgb,dfa_alpha_stride,0.026301597589633657
hd_to_als,dt,left_stride_s,0.0
hd_to_als,dt,right_stride_s,0.0
hd_to_als,dt,left_swing_s,0.0
hd_to_als,dt,right_swing_s,0.0
hd_to_als,dt,left_swing_pct,0.0
hd_to_als,dt,right_swing_pct,0.0
hd_to_als,dt,left_stance_s,0.0
hd_to_als,dt,right_stance_s,0.0
hd_to_als,dt,double_support_s,0.0
hd_to_als,dt,double_support_pct,0.0
hd_to_als,dt,asymmetry_index,0.0
hd_to_als,dt,cv_stride,1.1102230246251565e-15
hd_to_als,dt,cv_swing,0.0
hd_to_als,dt,dfa_alpha_stride,0.0
hd_to_als,knn,left_stride_s,0.032523978373251244
hd_to_als,knn,right_stride_s,0.03224984035860972
hd_to_als,knn,left_swing_s,0.01284265191797922
hd_to_als,knn,right_swing_s,0.0054469553516174034
hd_to_als,knn,left_swing_pct,0.005917959459289718
hd_to_als,knn,right_swing_pct,0.0009717690062895565
hd_to_als,knn,left_stance_s,0.02573847105028266
hd_to_als,knn,right_stance_s,0.023762884356992735
hd_to_als,knn,double_support_s,0.004876169781822941
hd_to_als,knn,double_support_pct,0.004939106860356925
hd_to_als,knn,asymmetry_index,0.0186167681831287
hd_to_als,knn,cv_stride,0.03540103552252809
hd_to_als,knn,cv_swing,0.031427235084044026
hd_to_als,knn,dfa_alpha_stride,0.005068128352893733
hd_to_als,lgbm,left_stride_s,9.66054368058544e-12
hd_to_als,lgbm,right_stride_s,1.4281858660712015e-12
hd_to_als,lgbm,left_swing_s,3.652145185236126e-12
hd_to_als,lgbm,right_swing_s,2.0102630481836153e-12
hd_to_als,lgbm,left_swing_pct,0.0
hd_to_als,lgbm,right_swing_pct,0.0
hd_to_als,lgbm,left_stance_s,7.397890616479114e-13
hd_to_als,lgbm,right_stance_s,0.0
hd_to_als,lgbm,double_support_s,0.0
hd_to_als,lgbm,double_support_pct,0.0
hd_to_als,lgbm,asymmetry_index,0.0
hd_to_als,lgbm,cv_stride,1.0454743737398076e-08
hd_to_als,lgbm,cv_swing,0.0
hd_to_als,lgbm,dfa_alpha_stride,0.0
hd_to_als,qda,left_stride_s,0.013894772361882624
