scope,domain,classifier,variant,sigma,mean_f1,std_f1
within,als,qda,direct,0.5,0.7322101666666666,0.005413086588956442
within,als,xgb,direct,0.0,0.822365,0.0
within,als,xgb,direct,0.05,0.8199916666666666,0.0015675777566004578
within,als,xgb,direct,0.1,0.8182074666666668,0.0028890189927084035
within,als,xgb,direct,0.15,0.8157690333333334,0.0025984116697989027
within,als,xgb,direct,0.2,0.8116160666666665,0.003105408007324323
within,als,xgb,direct,0.25,0.8082475666666669,0.0039054060558307503
within,als,xgb,direct,0.5,0.7790372333333335,0.005049112565817766
within,als,lgbm,direct,0.0,0.782201,0.0
within,als,lgbm,direct,0.05,0.7819889666666667,0.001872366868032478
within,als,lgbm,direct,0.1,0.7775930666666666,0.002887256530214167
within,als,lgbm,direct,0.15,0.7750502000000001,0.002988290024238867
within,als,lgbm,direct,0.2,0.7699302666666668,0.004050227128014649
within,als,lgbm,direct,0.25,0.7647000666666666,0.004828759481826922
within,als,lgbm,direct,0.5,0.7225722999999998,0.004768469668128551
cross,pd_to_hd,rf,pooled_relative,0.0,0.806739,0.0
cross,pd_to_hd,rf,pooled_relative,0.05,0.8106209000000001,0.0040597977387192945
cross,pd_to_hd,rf,pooled_relative,0.1,0.8124172666666668,0.004250686004945984
cross,pd_to_hd,rf,pooled_relative,0.15,0.7989638333333333,0.0034959722941707103
cross,pd_to_hd,rf,pooled_relative,0.2,0.7811095333333332,0.004720296277473112
cross,pd_to_hd,rf,pooled_relative,0.25,0.7609294333333332,0.006065551432891928
cross,pd_to_hd,rf,pooled_relative,0.5,0.7038303666666667,0.006323249156517745
cross,pd_to_hd,knn,pooled_relative,0.0,0.761634,0.0
cross,pd_to_hd,knn,pooled_relative,0.05,0.7660203,0.003258028038553383
cross,pd_to_hd,knn,pooled_relative,0.1,0.7634573666666665,0.002200110819831625
cross,pd_to_hd,knn,pooled_relative,0.15,0.7565991666666665,0.003458016454392695
cross,pd_to_hd,knn,pooled_relative,0.2,0.7459095666666667,0.005150555937073149
cross,pd_to_hd,knn,pooled_relative,0.25,0.7353155333333333,0.005298210847871737
cross,pd_to_hd,knn,pooled_relative,0.5,0.6899002333333334,0.0042670948502370395
cross,pd_to_hd,svm,pooled_relative,0.0,0.804983,0.0
cross,pd_to_hd,svm,pooled_relative,0.05,0.8035717333333333,0.0018631577557975262
cross,pd_to_hd,svm,pooled_relative,0.1,0.8018367000000001,0.0030180571182410526
cross,pd_to_hd,svm,pooled_relative,0.15,0.7974892000000001,0.004281888492484231
cross,pd_to_hd,svm,pooled_relative,0.2,0.7887847666666669,0.0042275923178266735
cross,pd_to_hd,svm,pooled_relative,0.25,0.7775545333333332,0.0038846559935862787
cross,pd_to_hd,svm,pooled_relative,0.5,0.7337905333333334,0.005335330411726986
cross,pd_to_hd,dt,pooled_relative,0.0,0.808212,0.0
cross,pd_to_hd,dt,pooled_relative,0.05,0.8098127,0.003438109476000652
cross,pd_to_hd,dt,pooled_relative,0.1,0.8068387666666667,0.0027611184350990236
cross,pd_to_hd,dt,pooled_relative,0.15,0.7906759666666667,0.0036613532968518252
cross,pd_to_hd,dt,pooled_relative,0.2,0.7674139000000001,0.004499827984068602
cross,pd_to_hd,dt,pooled_relative,0.25,0.7466020000000001,0.005227382162790664
cross,pd_to_hd,dt,pooled_relative,0.5,0.6824801666666666,0.006056736426796048
cross,pd_to_hd,qda,pooled_relative,0.0,0.853409,0.0
cross,pd_to_hd,qda,pooled_relative,0.05,0.8374455,0.0019036306464046584
cross,pd_to_hd,qda,pooled_relative,0.1,0.8130703,0.0033504624812003315
cross,pd_to_hd,qda,pooled_relative,0.15,0.7820600666666666,0.00515960968139721
cross,pd_to_hd,qda,pooled_relative,0.2,0.7412550333333334,0.0055178357669085016
cross,pd_to_hd,qda,pooled_relative,0.25,0.6955363333333335,0.005822894648879879
cross,pd_to_hd,qda,pooled_relative,0.5,0.5149014,0.005001402359200935
cross,pd_to_hd,xgb,pooled_relative,0.0,0.809681,0.0
cross,pd_to_hd,xgb,pooled_relative,0.05,0.8210794,0.003101565629117669
cross,pd_to_hd,xgb,pooled_relative,0.1,0.8129422000000001,0.004265468938928701
cross,pd_to_hd,xgb,pooled_relative,0.15,0.7946297,0.004708552403285188
cross,pd_to_hd,xgb,pooled_relative,0.2,0.7740349333333333,0.004389672644564375
cross,pd_to_hd,xgb,pooled_relative,0.25,0.7550394666666667,0.004964998258383099
cross,pd_to_hd,xgb,pooled_relative,0.5,0.6905076999999997,0.007039160545317785
cross,pd_to_hd,lgbm,pooled_relative,0.0,0.809436,0.0
cross,pd_to_hd,lgbm,pooled_relative,0.05,0.8109851666666666,0.0025036729857431978
cross,pd_to_hd,lgbm,pooled_relative,0.1,0.8065950999999998,0.002979577270988803
cross,pd_to_hd,lgbm,pooled_relative,0.15,0.7869701333333333,0.005528334411097035
cross,pd_to_hd,lgbm,pooled_relative,0.2,0.7688075666666666,0.0047670665358762665
cross,pd_to_hd,lgbm,pooled_relative,0.25,0.7478223666666667,0.006128570612913855
cross,pd_to_hd,lgbm,pooled_relative,0.5,0.6848414333333334,0.005097748249917828
cross,pd_to_hd,rf,source_relative,0.0,0.806739,0.0
cross,pd_to_hd,rf,source_relative,0.05,0.8030356333333333,0.0028504818404944277
cross,pd_to_hd,rf,source_relative,0.1,0.8100889999999998,0.0028985865758902295
cross,pd_to_hd,rf,source_relative,0.15,0.8127741999999999,0.0024248978421425467
cross,pd_to_hd,rf,source_relative,0.2,0.8132012,0.0035747946398697336
cross,pd_to_hd,rf,source_relative,0.25,0.8074396000000001,0.0035599973130559437
cross,pd_to_hd,rf,source_relative,0.5,0.7626032333333336,0.00609508865417878
cross,pd_to_hd,knn,source_relative,0.0,0.761634,0.0
cross,pd_to_hd,knn,source_relative,0.05,0.7656559333333335,0.0017119237401105358
cross,pd_to_hd,knn,source_relative,0.1,0.7696394000000002,0.0029870627667348787
cross,pd_to_hd,knn,source_relative,0.15,0.7700186333333333,0.003463948061282732
cross,pd_to_hd,knn,source_relative,0.2,0.7685254999999999,0.003671018215887699
cross,pd_to_hd,knn,source_relative,0.25,0.7654393666666669,0.004499261368371426
